Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
2300,2,3,2,32,0,60,2502,0,60,1077,0,40,1119,0,60,1141,0,60,1131,0,42,1166,0
7200,2,1,2,32,-2,9,440,-2,62,9,-2,0,62,-2,0,0,-2,0,0,-2,0,0,0
9700,2,2,1,40,-1,69,179,-1,404,69,-1,347,402,-1,183,346,-1,157,183,-1,101,157,0
2500,2,2,2,22,-1,0,139,2,977,100,-1,81,838,0,600,898,0,80,859,0,80,927,0
8400,1,3,2,36,-1,46,34,-1,61,45,-1,2176,60,-1,1200,2176,0,150,3246,0,17,3303,0
2700,2,1,2,27,0,200,1713,0,800,1882,0,400,2508,0,240,1158,0,200,654,0,320,847,0
1300,1,2,2,41,3,0,1045,3,0,1017,2,69,989,0,48,1042,0,44,1060,0,46,1081,1
300,2,2,2,29,1,49,358,2,0,395,2,20,382,0,18,392,0,0,346,0,0,0,1
14400,1,1,2,33,0,320,3270,0,402,3279,0,400,3609,0,402,3456,0,402,3787,0,360,3731,0
18800,2,2,2,32,0,12000,19657,0,637,19546,0,476,19415,0,4800,14438,0,255,13544,0,10000,4949,1
13300,1,2,1,31,0,48,1005,0,46,664,0,53,703,0,160,503,0,12,650,0,28,329,0
1900,2,2,1,38,0,98,269,0,0,362,2,53,351,0,14,397,0,15,399,0,20,407,0
3100,2,2,2,24,2,0,48,2,0,48,5,0,48,5,0,48,4,0,24,3,0,12,1
900,1,3,2,42,0,94,238,0,0,327,2,6,314,0,0,320,0,0,0,-2,0,0,1
4500,2,2,1,55,2,136,3804,2,0,3798,2,132,3658,0,280,3684,0,0,3860,2,140,3751,1
6100,2,2,2,22,1,2,6839,2,240,6632,0,157,5840,0,163,4556,0,180,4623,0,923,4475,0
1900,1,3,2,28,0,80,1915,0,80,1930,0,40,770,0,40,771,0,40,762,0,40,782,0
11900,1,2,1,45,0,840,8928,0,240,9562,2,146,9595,2,240,9356,0,240,6781,0,240,6415,0
8400,2,1,2,32,0,43,587,0,157,49,0,69,162,0,0,75,2,10,53,-1,434,10,1
9200,2,3,1,52,-2,158,39,-2,90,157,-2,57,89,-2,0,56,-2,0,0,-2,9,0,0
4100,2,2,1,35,0,120,4249,0,68,3929,0,62,1699,0,64,1733,0,80,1769,0,80,1820,0
8100,2,2,1,50,0,0,40,0,20,0,-2,36,20,-1,0,36,-1,0,0,-2,0,0,0
900,1,1,2,25,-1,181,152,-1,327,179,-1,317,327,-1,122,316,-1,65,118,-1,152,49,0
8300,2,1,2,32,-2,112,56,-2,56,112,-2,0,56,-2,1084,56,-1,62,1084,0,3000,1026,0
6300,1,1,2,28,-1,44,44,-1,0,44,-1,272,0,-1,0,272,-1,0,0,-2,0,0,0
9900,1,1,2,38,0,280,5728,0,140,5856,0,124,3669,0,128,3536,0,140,3612,0,140,3698,0
8000,2,1,2,26,0,164,2353,0,120,2480,0,120,294,0,0,379,2,40,342,2,0,307,0
4000,2,1,2,29,2,120,2289,2,60,2347,2,60,2346,2,224,2344,2,124,2503,2,80,2581,1
8100,1,2,1,32,1,0,0,-2,8,0,-1,0,8,-1,0,0,-2,0,0,-2,0,0,0
11700,1,2,1,52,-1,41,199,0,40,148,0,40,127,0,60,91,-1,75,60,-1,91,75,0
5200,2,2,1,54,0,272,8425,0,272,8612,0,213,8799,0,80,8845,0,40,876,0,40,882,0
2000,2,1,1,33,-2,0,2056,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
5700,1,2,2,27,0,680,5255,0,0,5848,2,456,5608,2,22,5761,2,212,5617,2,216,5211,1
2700,1,1,2,37,2,0,2001,2,160,1958,2,0,2072,2,200,2027,2,0,2194,2,160,2152,1
1300,2,2,1,28,0,132,865,0,40,971,2,40,983,2,44,995,2,40,1017,2,44,1034,1
2000,2,2,1,54,0,64,1480,0,80,1477,0,60,1397,0,40,1275,0,80,1160,0,80,1176,1
24700,2,1,2,38,-1,346,485,-1,25,318,-1,641,25,-1,114,641,-1,168,103,-1,37,115,0
8100,2,1,1,34,-1,0,34,2,125,17,-1,200,125,0,160,303,0,3600,442,0,600,3898,0
3100,2,2,2,27,1,360,0,-1,15,360,-1,0,15,-1,0,0,-2,15,0,-1,0,15,0
3300,2,2,1,40,-1,206,139,-1,258,206,0,157,334,-1,73,129,-1,92,73,-1,76,76,0
400,1,2,1,30,-1,0,16,-1,31,0,-1,0,31,-1,0,0,-2,0,0,-2,0,0,1
4500,1,2,1,35,1,264,2141,2,0,2346,3,0,2286,2,160,2199,0,140,2297,0,88,2368,1
1300,1,2,1,40,1,120,904,2,0,997,2,120,969,0,93,1072,0,0,1148,2,48,1124,1
1200,2,3,1,23,1,0,1215,2,57,1034,0,60,1039,0,100,1081,0,56,1163,2,56,1195,1
3200,2,1,2,20,0,2606,261,-1,95,2606,0,80,2146,0,80,2011,0,120,1647,0,40,1146,0
5200,2,2,2,25,0,166,5419,0,5502,5044,-1,141,5145,0,47,4136,0,0,1626,0,0,444,0
1900,2,2,1,31,0,246,1605,0,0,1824,2,145,1783,2,0,1885,2,74,1850,0,74,1887,1
700,2,1,2,21,-1,0,48,-1,7,0,-1,48,7,-1,57,48,-1,0,57,-1,39,0,0
19900,2,1,2,50,-1,15,7,-1,21,15,-1,0,21,-1,836,-1,-1,840,832,-1,4,836,0
5900,1,1,1,51,-2,595,619,-2,784,594,-2,531,784,-2,573,530,-2,1368,573,-2,315,1368,0
2100,2,1,2,26,2,156,1828,2,0,1954,2,152,1910,2,0,2032,2,160,1996,2,0,1999,1
9300,1,1,2,30,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
800,2,2,2,29,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
12400,1,2,1,35,0,124,3584,0,144,3335,0,95,3221,0,81,2814,0,80,2335,0,68,2058,0
14300,1,1,1,40,-1,46,11,-1,0,46,2,88,11,-1,21,88,-1,0,21,0,11,11,0
6900,2,2,2,54,-1,0,191,-1,18,0,-1,0,18,-1,17,0,-1,59,17,-1,28,59,1
10800,1,1,2,31,0,45,381,0,60,417,0,80,257,0,40,288,0,8,285,0,40,223,0
8000,1,1,2,25,-2,290,204,-2,609,290,-2,360,608,-2,359,360,-2,344,359,-2,332,344,0
19900,2,1,1,41,-2,16,145,-2,20,0,-1,0,20,2,22,20,2,22,36,-2,0,22,0
5900,2,3,2,49,0,280,6136,0,280,6149,0,280,6022,0,208,6124,0,220,6082,0,252,6059,0
6100,2,1,2,34,-2,151,80,-2,80,151,-2,80,80,-2,60,80,-2,60,60,-2,60,60,0
1100,2,3,1,60,0,49,393,0,44,435,0,17,386,0,24,400,0,20,415,0,20,206,0
7300,2,2,2,26,0,56,419,0,45,472,0,40,500,0,60,535,0,40,590,0,40,619,0
6500,1,3,2,54,0,261,6227,0,266,6295,0,109,6263,0,100,2913,0,92,2673,0,88,2537,0
3200,2,2,1,26,0,119,3082,0,98,3150,0,64,3190,0,32,1620,0,52,1168,0,14,1185,1
4900,1,2,1,47,-1,10,99,-1,230,6,-1,46,114,0,0,116,0,70,46,-1,163,70,1
7900,2,3,2,53,-1,48,31,0,103,79,-1,41,103,0,0,106,0,51,0,-1,0,51,0
2500,2,2,2,29,0,136,2327,0,92,2385,0,48,2231,0,48,1127,0,60,1159,0,60,1085,0
13700,2,3,1,39,0,280,7775,0,360,7326,0,360,7166,0,280,6820,0,240,6335,0,216,6067,0
8100,2,3,1,57,2,366,6361,2,194,6508,3,120,6526,2,320,6476,2,280,6632,2,120,6784,0
6300,2,1,2,33,0,240,6434,0,289,6142,0,200,6315,0,200,5748,0,236,5375,0,200,5522,0
10500,1,1,2,38,0,424,9955,0,388,9950,0,237,9816,0,225,6785,0,219,6604,0,219,6046,0
3700,1,1,2,25,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
8000,1,1,1,50,-1,32,55,-1,9,21,-1,52,9,-1,114,52,-1,0,114,-1,25,0,1
4000,1,1,2,29,0,120,1087,0,40,1176,2,0,1176,2,40,1156,-1,40,4,-1,40,38,0
4300,1,2,2,49,0,56,1028,0,60,1070,0,56,1115,0,40,1154,0,40,1182,0,30,1119,1
14400,1,3,2,52,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,1
1100,2,1,2,29,0,200,1462,0,440,705,0,120,1050,0,80,1033,0,60,-7,-1,0,27,0
7900,2,1,1,41,-1,3264,4010,-1,4591,3264,-1,2807,4591,-1,2767,2807,-1,1775,2767,-1,1506,1775,0
19100,1,1,1,45,0,102,2762,0,104,2820,0,105,2877,0,108,2934,0,112,2996,0,244,3058,0
7900,1,2,2,24,-1,600,3543,0,1759,4079,0,206,5759,0,240,5868,0,601,5974,0,19,6485,0
8700,2,1,2,26,0,200,2134,0,232,2241,-1,225,232,-1,922,225,-1,0,922,0,96,429,0
2800,2,2,2,27,0,120,1435,0,120,1140,0,120,1136,0,120,903,0,60,974,0,40,1017,0
12500,2,1,2,34,0,364,7698,0,282,7868,0,363,7568,0,448,7260,0,245,7066,0,214,6941,0
12500,2,1,2,26,0,248,5381,0,209,4605,0,208,4227,0,160,4092,0,200,3757,0,159,3507,0
1200,2,2,1,51,0,80,1076,0,60,1126,0,40,1153,0,40,1176,0,54,1048,0,40,1085,0
16700,2,2,2,30,0,120,3289,0,120,2710,0,7,2141,0,4920,-333,-1,110,3872,0,88,3261,0
2700,1,2,1,36,0,129,2819,0,198,2666,0,68,2786,0,200,1858,0,88,2027,0,69,2002,0
8800,2,1,2,27,-2,32,0,-2,0,32,-2,220,0,-1,153,220,-1,618,153,-1,167,618,0
4700,2,1,2,26,-2,13,13,-2,13,13,-2,13,13,-2,13,13,-2,13,13,-2,74,13,0
900,1,3,2,45,0,60,720,0,56,723,0,50,740,0,26,761,0,80,761,0,19,699,0
4000,2,2,2,30,0,720,1884,0,400,2432,0,105,2724,0,621,2574,-1,1645,621,0,80,2053,0
6000,1,1,1,42,-2,426,271,-2,130,425,-2,0,130,-2,0,0,-2,43,0,-1,0,43,0
7100,1,2,1,29,0,280,7249,0,321,7332,0,253,7357,0,257,7255,0,256,7196,0,240,6910,0
1100,2,2,1,53,2,148,281,2,0,417,2,48,405,0,16,446,0,40,455,0,0,487,1
